Metric,Value
Total Individual Requests,35
Correct Classifications,33
Incorrect Classifications,2
Errors,0
Accuracy (%),94.3
,
Expected vs Actual,
Expected Allow → Got Allow,24
Expected Allow → Got Deny,2
Expected Deny → Got Deny,9
Expected Deny → Got Allow,0
,
By Request Object ID Prefix,
allow_ prefix → Correctly Allowed,24
allow_ prefix → Incorrectly Denied,2
deny_ prefix → Correctly Denied,9
deny_ prefix → Incorrectly Allowed,0
