policy_idx,validation_type,accuracy,failed_examples_count,failed_examples
0,baseline,40.0,0,[]
1,baseline,64.0,0,[]
2,baseline,56.0,0,[]
3,baseline,44.0,0,[]
4,baseline,48.0,0,[]
5,baseline,88.0,0,[]
6,baseline,40.0,0,[]
7,baseline,92.0,0,[]
8,baseline,68.0,0,[]
9,baseline,80.0,0,[]
