policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,failed_examples_count,failed_examples,policy_file
0,1,85.0,80,68,12,12,0,12,"[{'request_id': 'allow_fba1a9d1', 'action': 's3:PutObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9e2bc345', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_a703d77b', 'action': 's3:PutObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_a703d77b', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::athena-query-results/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_bba1017f', 'action': 'athena:GetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_bba1017f', 'action': 'athena:GetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_dd7bb142', 'action': 'athena:GetTableMetadata', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_7b93d441', 'action': 's3:PutObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_21cc8c69', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_21cc8c69', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bkt_logs/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_21cc8c69', 'action': 'athena:GetQueryExecution', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_21cc8c69', 'action': 'athena:GetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/logs/app.log', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_0_iter_1.json
0,2,98.8,80,79,1,1,0,1,"[{'request_id': 'allow_a703d77b', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::athena-query-results/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_0_iter_2.json
0,3,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_0_iter_3.json
1,1,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_1_iter_1.json
2,1,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_2_iter_1.json
3,1,98.8,80,79,1,1,0,1,"[{'request_id': 'allow_c5858bb6', 'action': 'iot:RemoveThingFromThingGroup', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_3_iter_1.json
3,2,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_3_iter_2.json
4,1,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_4_iter_1.json
5,1,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_5_iter_1.json
6,1,100.0,80,80,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-80/policy_6_iter_1.json
