policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file
0,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_0_iter_1.json
1,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_1_iter_1.json
2,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_2_iter_1.json
3,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_3_iter_1.json
4,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_4_iter_1.json
5,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_5_iter_1.json
6,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_6_iter_1.json
7,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_7_iter_1.json
8,1,86.7,30,26,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_1.json
8,2,86.7,30,26,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_2.json
8,3,86.7,30,26,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_3.json
8,4,86.7,30,26,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_4.json
8,5,86.7,30,26,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_8_iter_5.json
9,1,100.0,30,30,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-30/policy_9_iter_1.json
