policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,failed_examples_count,failed_examples,policy_file
0,1,96.0,100,96,4,3,1,4,"[{'request_id': 'allow_e5b7466e', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99798741', 'action': 's3:ListBucket', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99798741', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'deny_f51c8ce9', 'action': 'athena:GetDatabase', 'resource': 'arn:aws:iam::123456789012:role/admin-role', 'expected': 'deny', 'actual': 'allow'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_0_iter_1.json
0,2,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_0_iter_2.json
1,1,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_1_iter_1.json
2,1,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_2_iter_1.json
3,1,97.0,100,97,3,3,0,3,"[{'request_id': 'allow_fe8baaac', 'action': 'iot:CreatePolicy', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_fe8baaac', 'action': 'iot:CreatePolicy', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_f1b08834', 'action': 'iot:CreatePolicy', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_3_iter_1.json
3,2,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_3_iter_2.json
4,1,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_4_iter_1.json
5,1,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_5_iter_1.json
6,1,100.0,100,100,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_6_iter_1.json
7,1,69.0,100,69,31,31,0,31,"[{'request_id': 'allow_5357d2cb', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_8ae4198a', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_979ff1ef', 'action': 's3:GetObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9f24b1ef', 'action': 's3:ListBucket', 'resource': 'arn:aws:s3:::bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_5df388f1', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_5df388f1', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_95d1ea7d', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_cdf29fee', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c9937967', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c9937967', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_22395051', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_f6bdaadc', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_7cfc9768', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_b97f4881', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_8b8fadd4', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_8b8fadd4', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_a06fbcf1', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_4d6b33af', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_22b7459e', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_dcbc4ca8', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_dcbc4ca8', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_b5195e74', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9a990', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3cc9cef9', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_977619fd', 'action': 's3:GetObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_615d97b4', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_7791e5a1', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_90234ad2', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_948a278f', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_fff7e589', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_8aa56e2a', 'action': 's3:GetObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-100/policy_7_iter_1.json
