policy_index,status,baseline_accuracy,final_accuracy,accuracy_improvement,iterations_used,target_achieved,error,accuracy_progression
0,failed,41.1,41.1,0.0,5,False,,"[41.1, 41.1, 41.1, 41.1, 41.1, 41.1]"
1,failed,41.1,41.1,0.0,5,False,,"[41.1, 41.1, 41.1, 41.1, 41.1, 41.1]"
2,failed,41.1,41.1,0.0,5,False,,"[41.1, 41.1, 41.1, 41.1, 41.1, 41.1]"
3,failed,41.1,41.1,0.0,5,False,,"[41.1, 41.1, 41.1, 41.1, 41.1, 41.1]"
4,failed,41.1,41.1,0.0,5,False,,"[41.1, 41.1, 41.1, 41.1, 41.1, 41.1]"
5,failed,30.0,30.0,0.0,5,False,,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0]"
6,failed,41.1,41.1,0.0,5,False,,"[41.1, 41.1, 41.1, 41.1, 41.1, 41.1]"
7,failed,30.0,41.1,11.100000000000001,5,False,,"[30.0, 41.1, 41.1, 41.1, 41.1, 41.1]"
8,failed,33.3,41.1,7.800000000000004,5,False,,"[33.3, 41.1, 41.1, 41.1, 41.1, 41.1]"
9,failed,36.7,61.1,24.4,5,False,,"[36.7, 72.2, 61.1, 72.2, 61.1, 61.1]"
