policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file,is_baseline
0,0,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/0.json,True
0,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_0_iter_1.json,False
0,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_0_iter_2.json,False
0,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_0_iter_3.json,False
0,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_0_iter_4.json,False
0,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_0_iter_5.json,False
1,0,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/1.json,True
1,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_1.json,False
1,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_2.json,False
1,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_3.json,False
1,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_4.json,False
1,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_5.json,False
2,0,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/2.json,True
2,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_1.json,False
2,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_2.json,False
2,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_3.json,False
2,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_4.json,False
2,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_5.json,False
3,0,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/3.json,True
3,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_3_iter_1.json,False
3,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_3_iter_2.json,False
3,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_3_iter_3.json,False
3,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_3_iter_4.json,False
3,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_3_iter_5.json,False
4,0,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/4.json,True
4,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_1.json,False
4,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_2.json,False
4,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_3.json,False
4,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_4.json,False
4,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_5.json,False
5,0,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/5.json,True
5,1,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_1.json,False
5,2,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_2.json,False
5,3,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_3.json,False
5,4,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_4.json,False
5,5,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_5.json,False
6,0,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/6.json,True
6,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_6_iter_1.json,False
6,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_6_iter_2.json,False
6,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_6_iter_3.json,False
6,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_6_iter_4.json,False
6,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_6_iter_5.json,False
7,0,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/7.json,True
7,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_7_iter_1.json,False
7,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_7_iter_2.json,False
7,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_7_iter_3.json,False
7,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_7_iter_4.json,False
7,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_7_iter_5.json,False
8,0,33.3,90,30,60,50,10,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/8.json,True
8,1,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_8_iter_1.json,False
8,2,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_8_iter_2.json,False
8,3,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_8_iter_3.json,False
8,4,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_8_iter_4.json,False
8,5,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_8_iter_5.json,False
9,0,36.7,90,33,57,39,18,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/9.json,True
9,1,72.2,90,65,25,0,25,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_9_iter_1.json,False
9,2,61.1,90,55,35,33,2,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_9_iter_2.json,False
9,3,72.2,90,65,25,0,25,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_9_iter_3.json,False
