policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file
0,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_0_iter_1.json
1,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_1_iter_1.json
2,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_2_iter_1.json
3,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_3_iter_1.json
4,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_4_iter_1.json
5,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_5_iter_1.json
6,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_6_iter_1.json
7,1,60.0,10,6,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_1.json
7,2,60.0,10,6,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_2.json
7,3,60.0,10,6,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_3.json
7,4,60.0,10,6,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_4.json
7,5,60.0,10,6,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_7_iter_5.json
8,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_8_iter_1.json
9,1,100.0,10,10,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-20/policy_9_iter_1.json
