policy_idx,validation_type,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,output_file
0,baseline,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254408.txt
1,baseline,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254409.txt
2,baseline,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254409.txt
3,baseline,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254410.txt
4,baseline,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254410.txt
5,baseline,30.0,80,24,56,33,23,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254410.txt
6,baseline,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254448.txt
7,baseline,30.0,80,24,56,33,23,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254449.txt
8,baseline,32.5,80,26,54,41,13,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254449.txt
9,baseline,33.8,80,27,53,37,16,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-80/Quacky_output/temp_validation_3788918_1751254449.txt
