policy_index,status,baseline_accuracy,final_accuracy,accuracy_improvement,iterations_used,target_achieved,error,accuracy_progression
0,failed,41.2,41.2,0.0,5,False,,"[41.2, 41.2, 41.2, 41.2, 41.2, 41.2]"
1,failed,41.2,41.2,0.0,5,False,,"[41.2, 41.2, 41.2, 41.2, 41.2, 41.2]"
2,failed,41.2,41.2,0.0,5,False,,"[41.2, 41.2, 41.2, 41.2, 41.2, 41.2]"
3,failed,41.2,41.2,0.0,5,False,,"[41.2, 41.2, 41.2, 41.2, 41.2, 41.2]"
4,failed,41.2,41.2,0.0,5,False,,"[41.2, 41.2, 41.2, 41.2, 41.2, 41.2]"
5,failed,30.0,30.0,0.0,5,False,,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0]"
6,failed,41.2,41.2,0.0,5,False,,"[41.2, 41.2, 41.2, 41.2, 41.2, 41.2]"
7,failed,30.0,41.2,11.200000000000003,5,False,,"[30.0, 41.2, 41.2, 41.2, 41.2, 41.2]"
8,failed,32.5,41.2,8.700000000000003,5,False,,"[32.5, 41.2, 41.2, 41.2, 41.2, 41.2]"
9,failed,33.8,73.8,40.0,5,False,,"[33.8, 73.8, 73.8, 73.8, 73.8, 73.8]"
