policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file,is_baseline
0,0,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/0.json,True
0,1,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_1.json,False
0,2,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_2.json,False
0,3,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_3.json,False
0,4,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_4.json,False
0,5,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_5.json,False
1,0,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/1.json,True
1,1,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_1_iter_1.json,False
1,2,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_1_iter_2.json,False
1,3,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_1_iter_3.json,False
1,4,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_1_iter_4.json,False
1,5,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_1_iter_5.json,False
2,0,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/2.json,True
2,1,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_2_iter_1.json,False
2,2,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_2_iter_2.json,False
2,3,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_2_iter_3.json,False
2,4,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_2_iter_4.json,False
2,5,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_2_iter_5.json,False
3,0,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/3.json,True
3,1,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_1.json,False
3,2,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_2.json,False
3,3,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_3.json,False
3,4,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_4.json,False
3,5,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_5.json,False
4,0,41.2,80,33,47,47,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/4.json,True
