policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,failed_examples_count,failed_examples,policy_file
0,1,68.0,50,34,16,16,0,16,"[{'request_id': 'allow_c1b30720', 'action': 's3:CreateBucket', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c1b30720', 'action': 's3:ListBucket', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c1b30720', 'action': 'athena:GetDatabase', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ecf3e72f', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ecf3e72f', 'action': 's3:DeleteObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_b95264ae', 'action': 'athena:GetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9c2e653f', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ca3cc698', 'action': 'athena:GetQueryResults', 'resource': 'arn:aws:s3:::bkt_logs/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ca3cc698', 'action': 'athena:GetDatabase', 'resource': 'arn:aws:s3:::bkt_logs/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_62987474', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:s3:::athena-query-results/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_4cceccae', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_4cceccae', 'action': 's3:GetObject', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_1ecee360', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_0_iter_1.json
0,2,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_0_iter_2.json
1,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_1_iter_1.json
2,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_2_iter_1.json
3,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_3_iter_1.json
4,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_4_iter_1.json
5,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_5_iter_1.json
6,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_6_iter_1.json
7,1,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_7_iter_1.json
8,1,70.0,50,35,15,15,0,15,"[{'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_a90cdf0e', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:DeleteObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:GetObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3de9ae28', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_8ba7a127', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9d28a4f3', 'action': 's3:GetObject', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_9d28a4f3', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_bb1a1d51', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_42c15574', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_56ba4314', 'action': 's3:GetObject', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_1.json
8,2,98.0,50,49,1,1,0,1,"[{'request_id': 'allow_42c15574', 'action': 's3:ListAllMyBuckets', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_2.json
8,3,90.0,50,45,5,5,0,5,"[{'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_99f0a1c0', 'action': 's3:CreateBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_42c15574', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_3.json
8,4,100.0,50,50,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50/policy_8_iter_4.json
