policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file
0,1,76.0,50,38,12,12,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_1.json
0,2,70.0,50,35,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_2.json
0,3,70.0,50,35,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_3.json
0,4,70.0,50,35,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_4.json
0,5,70.0,50,35,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_0_iter_5.json
1,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_1_iter_1.json
2,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_2_iter_1.json
3,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_3_iter_1.json
4,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_4_iter_1.json
5,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_5_iter_1.json
6,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_6_iter_1.json
7,1,76.0,50,38,12,12,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_1.json
7,2,80.0,50,40,10,10,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_2.json
7,3,80.0,50,40,10,10,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_3.json
7,4,80.0,50,40,10,10,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_4.json
7,5,80.0,50,40,10,10,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_7_iter_5.json
8,1,92.0,50,46,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_1.json
8,2,92.0,50,46,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_2.json
8,3,92.0,50,46,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_3.json
8,4,92.0,50,46,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_4.json
8,5,92.0,50,46,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_8_iter_5.json
9,1,100.0,50,50,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-50/policy_9_iter_1.json
