policy_idx,validation_type,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,output_file
0,baseline,40.8,120,49,71,71,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297804.txt
1,baseline,40.8,120,49,71,71,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297805.txt
2,baseline,40.8,120,49,71,71,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297806.txt
3,baseline,40.8,120,49,71,71,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297806.txt
4,baseline,40.8,120,49,71,71,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297806.txt
5,baseline,30.0,120,36,84,50,34,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297807.txt
6,baseline,40.8,120,49,71,71,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297863.txt
7,baseline,30.0,120,36,84,50,34,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297864.txt
8,baseline,37.5,120,45,75,58,17,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297864.txt
9,baseline,29.2,120,35,85,65,20,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-120/Quacky_output/temp_validation_4010951_1751297864.txt
