policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file,is_baseline,error
0,0,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/0.json,True,
0,1,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_0_iter_1.json,False,
0,2,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_0_iter_2.json,False,
0,3,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_0_iter_3.json,False,
0,4,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_0_iter_4.json,False,
0,5,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_0_iter_5.json,False,
1,0,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/1.json,True,
1,1,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_1_iter_1.json,False,
1,2,40.9,110.0,45.0,65.0,65.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-110/policy_1_iter_2.json,False,
1,3,0.0,,,,,,,False,"SMT validator failed: Traceback (most recent call last):
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/validate_requests.py"", line 302, in <module>
    call_translator(args)
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/translator.py"", line 25, in call_translator
    body = visit_policy_model(
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/backend.py"", line 36, in visit_policy_model
    body += Policy('p0', obj, smt_lib, enc).smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 361, in smt
    body += statement.smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 290, in smt
    d, a, b = condition.smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/aws_conditions.py"", line 299, in smt
    dtype, smt = ops[op](self.key, self.values, ('All' in self.op), self.smt_lib)
KeyError: 'ForAnyValue:StringEquals'
"
