policy_index,status,baseline_accuracy,final_accuracy,accuracy_improvement,iterations_used,target_achieved,error,accuracy_progression
0,failed,40.9,40.9,0.0,5,False,,"[40.9, 40.9, 40.9, 40.9, 40.9, 40.9]"
1,failed,40.9,40.9,0.0,5,False,,"[40.9, 40.9, 40.9, 0.0, 40.9, 0.0]"
2,failed,40.9,40.9,0.0,5,False,,"[40.9, 40.9, 40.9, 40.9, 40.9, 40.9]"
3,failed,40.9,40.9,0.0,5,False,,"[40.9, 40.9, 40.9, 40.9, 40.9, 40.9]"
4,failed,40.9,40.9,0.0,5,False,,"[40.9, 40.9, 40.9, 40.9, 40.9, 40.9]"
5,failed,30.0,30.0,0.0,5,False,,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0]"
6,failed,40.9,40.9,0.0,5,False,,"[40.9, 40.9, 40.9, 40.9, 40.9, 40.9]"
7,failed,30.0,40.0,10.0,5,False,,"[30.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
8,failed,45.5,40.9,-4.600000000000001,5,False,,"[45.5, 40.9, 40.9, 40.9, 40.9, 40.9]"
9,failed,41.8,66.4,24.60000000000001,5,False,,"[41.8, 64.5, 64.5, 64.5, 64.5, 66.4]"
