policy_idx,validation_type,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,output_file
0,baseline,40.9,110,45,65,65,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751296960.txt
1,baseline,40.9,110,45,65,65,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751296960.txt
2,baseline,40.9,110,45,65,65,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751296961.txt
3,baseline,40.9,110,45,65,65,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751296961.txt
4,baseline,40.9,110,45,65,65,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751296962.txt
5,baseline,30.0,110,33,77,46,31,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751296962.txt
6,baseline,40.9,110,45,65,65,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751297015.txt
7,baseline,30.0,110,33,77,46,31,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751297015.txt
8,baseline,45.5,110,50,60,51,9,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751297016.txt
9,baseline,41.8,110,46,64,53,11,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-110/Quacky_output/temp_validation_4005195_1751297016.txt
