policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file,is_baseline
3,4,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_4.json,False
3,5,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_5.json,False
4,0,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/4.json,True
4,1,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_1.json,False
4,2,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_2.json,False
4,3,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_3.json,False
4,4,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_4.json,False
4,5,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_5.json,False
5,0,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/5.json,True
5,1,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_1.json,False
5,2,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_2.json,False
5,3,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_3.json,False
5,4,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_4.json,False
5,5,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_5.json,False
6,0,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/6.json,True
6,1,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_1.json,False
6,2,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_2.json,False
6,3,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_3.json,False
6,4,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_4.json,False
6,5,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_5.json,False
7,0,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/7.json,True
7,1,37.0,100,37,63,45,18,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_1.json,False
7,2,37.0,100,37,63,45,18,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_2.json,False
7,3,37.0,100,37,63,45,18,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_3.json,False
7,4,38.0,100,38,62,52,10,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_4.json,False
7,5,37.0,100,37,63,45,18,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_5.json,False
8,0,35.0,100,35,65,49,16,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/8.json,True
8,1,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_1.json,False
8,2,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_2.json,False
8,3,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_3.json,False
8,4,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_4.json,False
8,5,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_5.json,False
9,0,36.0,100,36,64,53,11,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/original_policy/9.json,True
9,1,65.0,100,65,35,32,3,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_1.json,False
9,2,65.0,100,65,35,32,3,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_2.json,False
9,3,65.0,100,65,35,32,3,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_3.json,False
9,4,65.0,100,65,35,32,3,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_4.json,False
9,5,65.0,100,65,35,32,3,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_5.json,False
