policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file
0,1,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_1.json
0,2,80.0,100,80,20,20,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_2.json
0,3,80.0,100,80,20,20,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_3.json
0,4,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_4.json
0,5,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_0_iter_5.json
1,1,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_1.json
1,2,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_2.json
1,3,95.0,100,95,5,5,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_3.json
1,4,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_4.json
1,5,96.0,100,96,4,4,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_1_iter_5.json
2,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_2_iter_1.json
3,1,97.0,100,97,3,3,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_1.json
3,2,97.0,100,97,3,3,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_2.json
3,3,97.0,100,97,3,3,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_3.json
3,4,97.0,100,97,3,3,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_4.json
3,5,97.0,100,97,3,3,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_3_iter_5.json
4,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_4_iter_1.json
5,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_5_iter_1.json
6,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_6_iter_1.json
7,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_7_iter_1.json
8,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_8_iter_1.json
9,1,100.0,100,100,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-100/policy_9_iter_1.json
