policy_index,status,baseline_accuracy,final_accuracy,accuracy_improvement,iterations_used,target_achieved,error,accuracy_progression
0,failed,40.0,40.0,0.0,5,False,,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
1,failed,40.0,40.0,0.0,5,False,,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
2,failed,40.0,40.0,0.0,5,False,,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
3,failed,40.0,40.0,0.0,5,False,,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
4,failed,40.0,40.0,0.0,5,False,,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
5,failed,30.0,30.0,0.0,5,False,,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0]"
6,failed,40.0,40.0,0.0,5,False,,"[40.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
7,failed,30.0,37.0,7.0,5,False,,"[30.0, 37.0, 37.0, 37.0, 38.0, 37.0]"
8,failed,35.0,40.0,5.0,5,False,,"[35.0, 40.0, 40.0, 40.0, 40.0, 40.0]"
9,failed,36.0,65.0,29.0,5,False,,"[36.0, 65.0, 65.0, 65.0, 65.0, 65.0]"
