policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,failed_examples_count,failed_examples,policy_file
0,1,50.0,10,5,5,5,0,5,"[{'request_id': 'allow_0110392c', 'action': 'glue:GetPartitions', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_0110392c', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_fd762a67', 'action': 'athena:BatchGetQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_85dc8dad', 'action': 'glue:GetDatabase', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_85dc8dad', 'action': 'glue:GetDatabase', 'resource': 'arn:aws:s3:::athena-query-results/data/file.json', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_0_iter_1.json
0,2,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_0_iter_2.json
1,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_1_iter_1.json
2,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_2_iter_1.json
3,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_3_iter_1.json
4,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_4_iter_1.json
5,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_5_iter_1.json
6,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_6_iter_1.json
7,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_7_iter_1.json
8,1,90.0,10,9,1,1,0,1,"[{'request_id': 'allow_b3ede597', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_8_iter_1.json
8,2,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_8_iter_2.json
9,1,100.0,10,10,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-10/policy_9_iter_1.json
